epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1466.24,1.32228,0.95904,1.49832,0.95489,0.95719,0.97623,0.54908,1.58694,0.96398,1.96598,0.00110314,0.00110314,0.00110314
43,1500.81,1.31635,0.97689,1.50592,0.94795,0.95199,0.97805,0.56292,1.57134,0.58014,1.94802,0.00108938,0.00108938,0.00108938
44,1535.24,1.31415,0.94757,1.50239,0.92893,0.99121,0.98752,0.56028,1.4728,0.65651,1.87855,0.00107563,0.00107563,0.00107563
45,1569.63,1.29556,0.91651,1.47664,0.94417,0.97112,0.9798,0.55351,1.60391,0.58329,1.99423,0.00106188,0.00106188,0.00106188
46,1604.21,1.28324,0.91217,1.47965,0.94758,0.95602,0.98376,0.5509,1.63529,0.59369,2.04855,0.00104813,0.00104813,0.00104813
47,1638.75,1.3048,0.93413,1.49438,0.94748,0.95544,0.9785,0.5534,1.55925,0.58967,1.97025,0.00103437,0.00103437,0.00103437
48,1673.11,1.28146,0.91059,1.46704,0.93529,0.98519,0.98877,0.55611,1.63505,0.59722,2.05156,0.00102062,0.00102062,0.00102062
49,1707.49,1.27329,0.89474,1.46018,0.95021,0.97846,0.9751,0.5441,1.51774,0.57224,1.93467,0.00100687,0.00100687,0.00100687
50,1741.98,1.26509,0.88221,1.45982,0.93897,0.96038,0.97358,0.57747,1.53904,0.60725,1.94494,0.000993115,0.000993115,0.000993115
51,1776.71,1.26421,0.89563,1.45887,0.94597,0.95971,0.98075,0.56427,1.52632,0.5544,1.92499,0.000979362,0.000979362,0.000979362
52,1811.34,1.26135,0.89557,1.46461,0.94767,0.97814,0.98313,0.57381,1.51028,0.5496,1.93177,0.00096561,0.00096561,0.00096561
53,1845.89,1.26036,0.89216,1.45949,0.96142,0.97312,0.98481,0.55643,1.61533,0.6109,2.03066,0.000951857,0.000951857,0.000951857
54,1880.55,1.25303,0.89919,1.45271,0.9496,0.98605,0.99155,0.56778,1.67189,0.66674,2.07142,0.000938104,0.000938104,0.000938104
55,1915.11,1.25953,0.88116,1.45904,0.95297,0.95737,0.98013,0.5683,1.5541,0.5909,1.93985,0.000924352,0.000924352,0.000924352
56,1949.57,1.22996,0.85151,1.43916,0.94536,0.97884,0.99043,0.5733,1.56328,0.53724,1.9736,0.000910599,0.000910599,0.000910599
57,1984.02,1.24517,0.87807,1.44892,0.95782,0.97091,0.98706,0.56026,1.61239,0.58407,2.01843,0.000896846,0.000896846,0.000896846
58,2018.4,1.22775,0.8593,1.44823,0.98508,0.98962,0.99406,0.55257,1.72603,0.55523,2.16118,0.000883093,0.000883093,0.000883093
59,2052.8,1.22772,0.84368,1.43333,0.9681,0.97113,0.99212,0.55155,1.63816,0.56573,2.03836,0.00086934,0.00086934,0.00086934
60,2086.94,1.2086,0.83376,1.42571,0.97625,0.98366,0.99281,0.57137,1.65108,0.571,2.10603,0.000855588,0.000855588,0.000855588
61,2121.08,1.20094,0.8488,1.43725,0.97487,0.98203,0.98574,0.55731,1.62408,0.56935,2.03493,0.000841835,0.000841835,0.000841835
62,2155.26,1.19306,0.8437,1.42114,0.95959,0.96551,0.97857,0.55561,1.65154,0.63529,2.11148,0.000828082,0.000828082,0.000828082
63,2189.59,1.19614,0.81619,1.41099,0.95855,0.97887,0.98326,0.54111,1.63468,0.57826,2.04932,0.000814329,0.000814329,0.000814329
64,2223.88,1.20097,0.83275,1.41811,0.97624,0.96955,0.98999,0.56091,1.58085,0.54823,2.03984,0.000800577,0.000800577,0.000800577
65,2258.26,1.19149,0.83176,1.41118,0.96327,0.97273,0.97508,0.55613,1.69453,0.53736,2.10247,0.000786824,0.000786824,0.000786824
66,2292.7,1.18369,0.80711,1.40685,0.96705,0.96652,0.98311,0.55381,1.69342,0.5668,2.09484,0.000773071,0.000773071,0.000773071
67,2327.28,1.16783,0.81817,1.40282,0.95421,0.98962,0.98372,0.54189,1.65545,0.53681,2.05268,0.000759318,0.000759318,0.000759318
68,2361.72,1.17749,0.81159,1.40031,0.9901,0.97781,0.98406,0.55808,1.65116,0.55793,2.04501,0.000745566,0.000745566,0.000745566
69,2396.39,1.15304,0.79001,1.39167,0.97179,0.97387,0.98101,0.56402,1.63279,0.55526,2.03945,0.000731813,0.000731813,0.000731813
70,2431.15,1.15663,0.81435,1.38975,0.9806,0.97962,0.98216,0.55707,1.69844,0.57062,2.1155,0.00071806,0.00071806,0.00071806
71,2465.71,1.15414,0.79411,1.39517,0.94067,0.97724,0.97759,0.55201,1.65141,0.58281,2.05882,0.000704307,0.000704307,0.000704307
72,2500.17,1.14912,0.80511,1.38772,0.95053,0.96839,0.98768,0.55804,1.67322,0.57605,2.10018,0.000690555,0.000690555,0.000690555
73,2534.78,1.14812,0.80315,1.38168,0.96672,0.99342,0.99189,0.57027,1.64786,0.58365,2.08629,0.000676802,0.000676802,0.000676802
74,2569.72,1.14598,0.79258,1.38923,0.94591,0.9674,0.98087,0.55721,1.59356,0.53466,2.00244,0.000663049,0.000663049,0.000663049
75,2604.48,1.13561,0.77979,1.37725,0.9601,0.98912,0.98561,0.56341,1.61177,0.53303,2.02462,0.000649297,0.000649297,0.000649297
76,2639.04,1.11625,0.77257,1.37054,0.96508,0.96812,0.98619,0.56464,1.72238,0.66003,2.23152,0.000635544,0.000635544,0.000635544
77,2673.59,1.12055,0.78099,1.37137,0.96438,0.95588,0.97547,0.55516,1.60662,0.56413,2.04397,0.000621791,0.000621791,0.000621791
78,2708.48,1.11366,0.77787,1.36704,0.94714,0.97573,0.98319,0.54871,1.68803,0.57107,2.09901,0.000608038,0.000608038,0.000608038
79,2743.11,1.10517,0.7641,1.3565,0.95718,0.97145,0.98175,0.55792,1.61723,0.53486,2.0594,0.000594286,0.000594286,0.000594286
